2026-07-04 11:08:51 | INFO     | app | main.py:4 | Configuration loaded successfully.
2026-07-04 11:08:51 | INFO     | app | main.py:7 | Starting the application.
2026-07-04 11:09:43 | INFO     | app | main.py:4 | Configuration loaded successfully.
2026-07-04 11:09:43 | INFO     | app | main.py:7 | Starting the application.
2026-07-04 12:13:33 | INFO     | app | main.py:33 | Application started
2026-07-04 12:13:33 | INFO     | app | main.py:34 | Configuration loaded
2026-07-04 12:13:40 | INFO     | app | main.py:37 | LLM initialized
2026-07-04 12:14:07 | INFO     | app | main.py:76 | Question: who is ntr
2026-07-04 12:14:07 | INFO     | app | main.py:20 | Sending request to LLM
2026-07-04 12:14:13 | INFO     | app | main.py:24 | Received response from LLM
2026-07-04 12:15:05 | INFO     | app | main.py:76 | Question: what is his age
2026-07-04 12:15:05 | INFO     | app | main.py:20 | Sending request to LLM
2026-07-04 12:15:07 | INFO     | app | main.py:24 | Received response from LLM
2026-07-04 12:15:22 | INFO     | app | main.py:59 | Application terminated by user
